sec,CH1,CH40,
0.282,-0.261841,0,
0.283,-0.259705,0,
0.284,-0.254822,0,
0.285,-0.247498,0,
0.286,-0.238647,0,
0.287,-0.228577,0,
0.288,-0.217896,0,
0.289,-0.206909,0,
0.29,-0.196533,0,
0.291,-0.186462,0,
0.292,-0.177002,0,
0.293,-0.168152,0,
0.294,-0.160217,0,
0.295,-0.152588,0,
0.296,-0.145569,0,
0.297,-0.13916,0,
0.298,-0.133667,0,
0.299,-0.128174,0,
0.3,-0.123291,0,
0.301,-0.118103,0,
0.302,-0.11322,0,
0.303,-0.108032,0,
0.304,-0.103149,0,
0.305,-0.0982666,0,
0.306,-0.093689,0,
0.307,-0.0894165,0,
0.308,-0.085144,0,
0.309,-0.0811768,0,
0.31,-0.0769043,0,
0.311,-0.072937,0,
0.312,-0.0689697,0,
0.313,-0.0650024,0,
0.314,-0.0616455,0,
0.315,-0.0582886,0,
0.316,-0.055542,0,
0.317,-0.0531006,0,
0.318,-0.0509644,0,
0.319,-0.0491333,0,
0.32,-0.0473022,0,
0.321,-0.0460815,0,
0.322,-0.0445557,0,
0.323,-0.043335,0,
0.324,-0.0421143,0,
0.325,-0.0405884,0,
0.326,-0.0393677,0,
0.327,-0.0378418,0,
0.328,-0.0366211,0,
0.329,-0.0357056,0,
0.33,-0.0344849,0,
0.331,-0.0335693,0,
0.332,-0.0323486,0,
0.333,-0.0311279,0,
0.334,-0.0299072,0,
0.335,-0.0286865,0,
0.336,-0.027771,0,
0.337,-0.0268555,0,
0.338,-0.0265503,0,
0.339,-0.0259399,0,
0.34,-0.0253296,0,
0.341,-0.0241089,0,
0.342,-0.0228882,0,
0.343,-0.0210571,0,
0.344,-0.0192261,0,
0.345,-0.017395,0,
0.346,-0.0158691,0,
0.347,-0.0143433,0,
0.348,-0.0125122,0,
0.349,-0.0106812,0,
0.35,-0.0088501,0,
0.351,-0.00671387,0,
0.352,-0.00427246,0,
0.353,-0.00183105,0,
0.354,0.000610352,0,
0.355,0.00305176,0,
0.356,0.00518799,0,
0.357,0.00732422,0,
0.358,0.00946045,0,
0.359,0.0115967,0,
0.36,0.0137329,0,
0.361,0.0158691,0,
0.362,0.0180054,0,
0.363,0.0201416,0,
0.364,0.022583,0,
0.365,0.0250244,0,
0.366,0.0271606,0,
0.367,0.0289917,0,
0.368,0.0305176,0,
0.369,0.0326538,0,
0.37,0.0344849,0,
0.371,0.0366211,0,
0.372,0.0384521,0,
0.373,0.0402832,0,
0.374,0.0418091,0,
0.375,0.0427246,0,
0.376,0.0439453,0,
0.377,0.0445557,0,
0.378,0.0454712,0,
0.379,0.0466919,0,
0.38,0.0479126,0,
0.381,0.0494385,0,
0.382,0.0515747,0,
0.383,0.0543213,0,
0.384,0.0576782,0,
0.385,0.0613403,0,
0.386,0.065918,0,
0.387,0.0704956,0,
0.388,0.0753784,0,
0.389,0.0805664,0,
0.39,0.0857544,0,
0.391,0.0912476,0,
0.392,0.0964355,0,
0.393,0.101929,0,
0.394,0.107117,0,
0.395,0.112,0,
0.396,0.116882,0,
0.397,0.12146,0,
0.398,0.125427,0,
0.399,0.129089,0,
0.4,0.132446,0,
0.401,0.135498,0,
0.402,0.138855,0,
0.403,0.141907,0,
0.404,0.144653,0,
0.405,0.147705,0,
0.406,0.151062,0,
0.407,0.154419,0,
0.408,0.158386,0,
0.409,0.162659,0,
0.41,0.167542,0,
0.411,0.172119,0,
0.412,0.177307,0,
0.413,0.18219,0,
0.414,0.187073,0,
0.415,0.191956,0,
0.416,0.196533,0,
0.417,0.201111,0,
0.418,0.205383,0,
0.419,0.209351,0,
0.42,0.213623,0,
0.421,0.217285,0,
0.422,0.221252,0,
0.423,0.22522,0,
0.424,0.229492,0,
0.425,0.23407,0,
0.426,0.238647,0,
0.427,0.243225,0,
0.428,0.247803,0,
0.429,0.252686,0,
0.43,0.257263,0,
0.431,0.261841,0,
0.432,0.266113,0,
0.433,0.270386,0,
0.434,0.274963,0,
0.435,0.279236,0,
0.436,0.283813,0,
0.437,0.288391,0,
0.438,0.292664,0,
0.439,0.296631,0,
0.44,0.300598,0,
0.441,0.30365,0,
0.442,0.306702,0,
0.443,0.309448,0,
0.444,0.31189,0,
0.445,0.314331,0,
0.446,0.316772,0,
0.447,0.319519,0,
0.448,0.322571,0,
0.449,0.325928,0,
0.45,0.329285,0,
0.451,0.332642,0,
0.452,0.335388,0,
0.453,0.338135,0,
0.454,0.340271,0,
0.455,0.342407,0,
0.456,0.343933,0,
0.457,0.345459,0,
0.458,0.346375,0,
0.459,0.346985,0,
0.46,0.34668,0,
0.461,0.345764,0,
